사건번호,사유
2004두2714,검색 정확일치 없음
2004두4765,검색 정확일치 없음
2004두91643,검색 정확일치 없음
2004두9975,검색 정확일치 없음
2004헌마55410,검색 정확일치 없음
2004헌마67020,검색 정확일치 없음
2004헌마67522,검색 정확일치 없음
2004헌바9536,검색 정확일치 없음
2005가단42764,검색 정확일치 없음
2005구합10576,검색 정확일치 없음
2005구합13582,검색 정확일치 없음
2005구합14158,검색 정확일치 없음
2005구합15700,검색 정확일치 없음
2005구합16390,검색 정확일치 없음
2005구합16468,검색 정확일치 없음
2005구합16888,검색 정확일치 없음
2005구합1718,검색 정확일치 없음
2005구합22654,검색 정확일치 없음
2005구합28584,검색 정확일치 없음
2005구합30709,검색 정확일치 없음
2005구합34015,검색 정확일치 없음
2005구합37182,검색 정확일치 없음
2005구합41143,검색 정확일치 없음
2005구합4168,검색 정확일치 없음
2005구합42061,검색 정확일치 없음
2005구합4649,검색 정확일치 없음
2005구합5079,검색 정확일치 없음
2005구합5536,검색 정확일치 없음
2005나9133,검색 정확일치 없음
2005누12,검색 정확일치 없음
2005누23413,검색 정확일치 없음
2005다2091043,검색 정확일치 없음
2005다30610757,검색 정확일치 없음
2005다45827478,검색 정확일치 없음
2005다54029,검색 정확일치 없음
2005다54463,검색 정확일치 없음
2005도8005732,검색 정확일치 없음
2005도836448,검색 정확일치 없음
2005도8606595,검색 정확일치 없음
2005두11418564,검색 정확일치 없음
2005두1152,검색 정확일치 없음
2005두12862,검색 정확일치 없음
2005두12992747,검색 정확일치 없음
2005두13247,검색 정확일치 없음
2005두13384,검색 정확일치 없음
2005두14767,검색 정확일치 없음
2005두14806,검색 정확일치 없음
2005두14813,검색 정확일치 없음
2005두16499,검색 정확일치 없음
2005두16772,검색 정확일치 없음
2005두3608,검색 정확일치 없음
2005두4120792,검색 정확일치 없음
2005두4403,검색 정확일치 없음
2005두4403465,검색 정확일치 없음
2005두4991,검색 정확일치 없음
2005두5093,검색 정확일치 없음
2005두6423,검색 정확일치 없음
2005두6522,검색 정확일치 없음
2005두7945,검색 정확일치 없음
2005두8047,검색 정확일치 없음
2005두8788376,검색 정확일치 없음
2005두9019,검색 정확일치 없음
2005두9217,검색 정확일치 없음
2005두9729,검색 정확일치 없음
2005두9873353,검색 정확일치 없음
2005카합411,검색 정확일치 없음
2006가합1639311,검색 정확일치 없음
2006구합13138,검색 정확일치 없음
2006구합14179,검색 정확일치 없음
2006구합16311,검색 정확일치 없음
2006구합2084,검색 정확일치 없음
2006구합2466,검색 정확일치 없음
2006구합24701,검색 정확일치 없음
2006구합27519,검색 정확일치 없음
2006구합32474,검색 정확일치 없음
2006구합33644,검색 정확일치 없음
2006구합4119,검색 정확일치 없음
2006구합45067,검색 정확일치 없음
2006구합45968,검색 정확일치 없음
2006구합46657,검색 정확일치 없음
2006나100181,검색 정확일치 없음
2006나2710,검색 정확일치 없음
2006누11455,검색 정확일치 없음
2006누13741,검색 정확일치 없음
2006누23496,검색 정확일치 없음
2006누25980,검색 정확일치 없음
2006누26075,검색 정확일치 없음
2006누4648,검색 정확일치 없음
2006누7548,검색 정확일치 없음
2006다16215328,검색 정확일치 없음
2006다17287186,검색 정확일치 없음
2006다17287191,검색 정확일치 없음
2006다33531328,검색 정확일치 없음
2006다381,검색 정확일치 없음
2006다48069372,검색 정확일치 없음
2006다48489,검색 정확일치 없음
2006다66968,검색 정확일치 없음
2006다66968394,검색 정확일치 없음
2006다75088,검색 정확일치 없음
2006다81523,검색 정확일치 없음
2006도1513,검색 정확일치 없음
2006도388794,검색 정확일치 없음
2006도638911,검색 정확일치 없음
2006도6479112,검색 정확일치 없음
