사건번호,법원,날짜,인용횟수
90다카21589,대법원,1990.11.23.,1
2016다48297,대법원,2018.6.28.,1
92도2089,대법원,1993.7.13.,1
2005두5673,대법원,2006.2.24.,1
2018두38338,대법원,2018.6.15.,1
2011두3944,대법원,2011.6.9.,1
89다카5451,대법원,1990.4.27.,1
90다11554,대법원,1991.7.12.,1
2013두23904,대법원,2014.2.28.,1
2016다243078,대법원,2017.12.23.,1
92누15765,대법원,1993.4.9,1
2013다209039,대법원,2015.12.23.,1
99다30473,대법원,1999.11.12.,1
2018다200709,대법원,2019.11.14.,1
2001다83838,대법원,2002.3.29.,1
2014다204666,대법원,2016.5.26.,1
2015다69846,대법원,2019.6.13.,1
95다29970,대법원,1996.12.23.,1
90다카23912,대법원,1990.12.7.,1
2007다29379,대법원,2007.12.27.,1
2001두3709,대법원,2001.7.13.,1
96도1639,대법원,1997.3.14.,1
2000다2443,대법원,2000.5.30.,1
92다1995,대법원,1992.8.14.,1
2003두902,대법원,2004.2.27.,1
2014다41681,대법원,2019.7.4.,1
2001두3136,대법원,2003.6.10.,1
93누3837,대법원,1993.9.28.,1
84누299,대법원,1984.9.25.,1
93누16680,대법원,1994.4.29.,1
2004두6549,대법원,2004.12.24.,1
2003두8210,대법원,2005.11.25.,1
94다18553,대법원,1995.6.29.,1
91다25055,대법원,1992.2.25.,1
97다18936,대법원,1998.1.20.,1
79다2168,대법원,1980.10.14.,1
2006다66968,대법원,2007.1.25.,1
94누576,대법원,1994.9.13.,1
2004다13762,대법원,2005.10.13.,1
2002두12809,대법원,2003.12.12.,1
75다872,대법원,1976.3.9.,1
2008다12408,대법원,2011.7.28.,1
2013다47583,대법원,2014.9.25.,1
91누10046,대법원,1992.3.13.,1
2016다228802,대법원,2018.8.30.,1
92다23360,대법원,1992.12.8.,1
93다18365,대법원,1993.10.12.,1
2002다64681,대법원,2003.9.26.,1
86다카24445,대법원,1990.3.13.,1
93다33173,대법원,1994.6.28.,1
2012두5176,대법원,2015.3.12.,1
2002두8138,대법원,2003.5.16.,1
2011두32898,대법원,2015.6.11.,1
92다1728,대법원,1992.4.14.,1
97누7271,대법원,1997.8.29.,1
2018도9012,대법원,2019.10.31.,1
96누9034,대법원,1996.10.11.,1
87다카2578,대법원,1988.5.10.,1
2016다10254,대법원,2016.6.10.,1
2000다2023,대법원,2000.4.25.,1
92다50263,대법원,1993.7.13.,1
2006두6956,대법원,2006.8.25.,1
2010다3735,대법원,2012.2.23.,1
2016두38280,대법원,2016.8.17.,1
2015도1681,대법원,2018.1.15.,1
96누2521,대법원,1996.6.14.,1
2001다13044,대법원,2001.6.12.,1
2012다55518,대법원,2015.6.11.,1
90다카12493,대법원,1990.12.26.,1
87다카555,대법원,1987.9.8.,1
96누8031,대법원,1997.9.5.,1
2018도12691,대법원,2018.10.25,1
99두4235,대법원,2000.6.23.,1
2015두44493,대법원,2017.10.12.,1
97다18165,대법원,1997.7.22.,1
2007두9471,대법원,2010.5.27.,1
91다27518,대법원,1992.5.12.,1
94누1890,대법원,1994.8.12.,1
93누4199,대법원,1993.9.24.,1
2015다5170,대법원,2016.10.27.,1
94누3001,대법원,1994.12.23.,1
2018도17135,대법원,2019.6.13.,1
92다22770,대법원,1993.3.9.,1
2013헌바172,헌법재판소,2014.8.28.,1
2001두6579,대법원,2002.5.14.,1
91다2656,대법원,1991.5.14.,1
2017두49119,대법원,2018.6.15.,1
2001다77970,대법원,2002.6.28.,1
94다14629,대법원,1994.8.9,1
2011두24644,대법원,2012.3.15.,1
92누11046,대법원,1992.11.24.,1
2012다94643,대법원,2013.12.18.,1
68다1972,대법원,1969.3.4.,1
92다42897,대법원,1993.9.10.,1
91다12806,대법원,1991.11.12.,1
85다375,대법원,1986.7.8.,1
94누7959,대법원,1995.2.17.,1
2002다69631,대법원,2003.3.14.,1
91누11698,대법원,1993.5.11.,1
2002다51555,대법원,2004.6.25.,1
2022다206841,대법원,2022.5.20.,1
2012다71138,대법원,2015.10.29.,1
2016두1066,대법원,2017.11.14.,1
2001헌바50,헌법재판소,2002.11.28.,1
97다18875,대법원,1997.8.26.,1
94헌바19,헌법재판소,1997.8.21.,1
2012두25552,대법원,2014.10.30.,1
2019도9688,대법원,2019.10.17.,1
92다14779,대법원,1992.12.22.,1
2003다51675,대법원,2004.2.27.,1
2017두59987,대법원,2018.1.25.,1
97누2528,대법원,1999.9.3.,1
91다36307,대법원,1992.3.27.,1
2011두4282,대법원,2013.12.12.,1
97누13962,대법원,1997.12.12.,1
2000다15869,대법원,2000.6.9.,1
91다41750,대법원,1993.5.25.,1
98두13287,대법원,1998.12.8.,1
2021대69,대법원,2024.1.4.,1
2017도4343,대법원,2017.7.1.,1
95다41659,대법원,1995.12.26.,1
95다719,대법원,1996.2.9.,1
2013두1232,대법원,2014.9.4.,1
2011두20192,대법원,2011.11.10.,1
87다카2268,대법원,1988.6.14.,1
2021다246545,대법원,2024.7.25.,1
2013다74592,대법원,2016.1.14.,1
2006두5335,대법원,2006.6.16.,1
94다43351,대법원,1995.12.5.,1
95누6410,대법원,1996.6.14.,1
2003두4119,대법원,2003.11.13.,1
2013두20011,대법원,2019.10.31.,1
93헌바43,헌법재판소,1995.2.23.,1
93다23107,대법원,1993.11.9.,1
95다48650,대법원,1996.2.23.,1
91다4317,대법원,1992.9.22.,1
90다15884,대법원,1991.2.8.,1
91다20418,대법원,1991.8.27.,1
90다8763,대법원,1992.3.31.,1
94다21979,대법원,1994.10.25.,1
2014두46218,대법원,2015.4.23.,1
91다29811,대법원,1992.8.14.,1
2002헌바95,헌법재판소,2005.11.24.,1
93다25851,대법원,1993.11.9.,1
91다46922,대법원,1992.9.14.,1
92누11107,대법원,1992.10.9.,1
2007다85997,대법원,2008.2.29.,1
2014다9632,대법원,2018.5.30.,1
92다54210,대법원,1993.10.26.,1
2004두10548,대법원,2005.6.10.,1
2014다20882,대법원,2014.11.13.,1
97다7066,대법원,1997.7.25.,1
98헌마310,헌법재판소,1999.9.16.,1
2016다271226,대법원,2017.4.27.,1
2013두3351,대법원,2015.5.28.,1
92다7542,대법원,1992.6.23.,1
2000헌마707,헌법재판소,2002.7.18.,1
2008두12344,대법원,2008.11.13.,1
2019도1162,대법원,2019.4.19.,1
2009다50308,대법원,2010.7.15.,1
89헌가106,헌법재판소,1991.7.22.,1
87다카1671,대법원,1988.11.22.,1
2013다74363,대법원,2014.8.28.,1
2019두45647,대법원,2019.10.31.,1
2007헌바36,헌법재판소,2008.11.27.,1
2021다216558,대법원,2014.6.17.,1
2010다17468,대법원,2012.6.28.,1
94다4295,대법원,1994.7.29.,1
2009다32522,대법원,2010.1.28.,1
2002두6552,대법원,2002.10.25.,1
94다42082,대법원,1995.3.24.,1
2023도12316,대법원,2023.12.28.,1
2005두13247,대법원,2007.11.30.,1
96누17738,대법원,1997.6.13.,1
2007다54498,대법원,2009.3.26.,1
97도813,대법원,1997.11.11.,1
94누11491,대법원,1995.7.14.,1
77다300,대법원,1977.9.28.,1
2019다230899,대법원,2019.10.18.,1
93다30938,대법원,1994.1.11.,1
90누2727,대법원,1990.9.25.,1
2007다51758,대법원,2007.12.27.,1
91다36192,대법원,1993.12.24.,1
2009두13627,대법원,2012.1.27.,1
2021다20687,대법원,2022.7.14.,1
2017두54975,대법원,2018.6.19.,1
