doc_id,source,case_no,case_src,doctype,category,category_src,post_id,title,gate,bundled
output_법원 노동판례/근로기준/2014다41520_휴일근로 판단에 관한 법리 및 휴일근로 여부 판단 사례.md,crawl,2014다41520,meta,prec,근로기준,folder,,휴일근로 판단에 관한 법리 및 휴일근로 여부 판단 사례,verbatim,1
output_법원 노동판례/근로기준/2015다20780_통상임금 해당 부정 사례.md,crawl,2015다20780,meta,prec,근로기준,folder,,통상임금 해당 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2015다233579_포괄임금제 성립 부정 사례.md,crawl,2015다233579,meta,prec,근로기준,folder,,포괄임금제 성립 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2015다254231_대학교수 재임용 거부 정당성 부정 사례.md,crawl,2015다254231,meta,prec,근로기준,folder,,대학교수 재임용 거부 정당성 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2015다44069_통상임금 해당 부정 사례.md,crawl,2015다44069,meta,prec,근로기준,folder,,통상임금 해당 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2015다61415_아시아나항공 통상임금 관련 소송에서 신의칙 적용 인정 사례.md,crawl,2015다61415,meta,prec,근로기준,folder,,아시아나항공 통상임금 관련 소송에서 신의칙 적용 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2015다71917_한국지엠 통상임금 관련 소송에서 신의칙 적용 인정 사례.md,crawl,2015다71917,meta,prec,근로기준,folder,,한국지엠 통상임금 관련 소송에서 신의칙 적용 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2015다75285_시간급 통상임금 산정 방식.md,crawl,2015다75285,meta,prec,근로기준,folder,,시간급 통상임금 산정 방식,verbatim,1
output_법원 노동판례/근로기준/2015다8803_포괄임금제 유효성 인정 사례.md,crawl,2015다8803,meta,prec,근로기준,folder,,포괄임금제 유효성 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2015도6326_공인노무사의 변호사법 위반 인정 사례.md,crawl,2015도6326,meta,prec,근로기준,folder,,공인노무사의 변호사법 위반 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2015도6329_공인노무사의 변호사법 위반 인정 사례.md,crawl,2015도6329,meta,prec,근로기준,folder,,공인노무사의 변호사법 위반 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2015두48976_육아휴직급여청구권의 소멸시효 기산점.md,crawl,2015두48976,meta,prec,근로기준,folder,,육아휴직급여청구권의 소멸시효 기산점,verbatim,1
output_법원 노동판례/근로기준/2015두49481_육아휴직급여 청구권의 소멸시효 기산점.md,crawl,2015두49481,meta,prec,근로기준,folder,,육아휴직급여 청구권의 소멸시효 기산점,verbatim,1
output_법원 노동판례/근로기준/2016다10544_통상임금 관련 추가청구의 신의칙 위반 부정 사례.md,crawl,2016다10544,meta,prec,근로기준,folder,,통상임금 관련 추가청구의 신의칙 위반 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2016다16054_추가지급 여력 판단은 사업부 아닌 법인 전체 재정상황 기준.md,crawl,2016다16054,meta,prec,근로기준,folder,,추가지급 여력 판단은 사업부 아닌 법인 전체 재정상황 기준,verbatim,1
output_법원 노동판례/근로기준/2016다235480_퇴직금 중간정산의 합의 유효 인정 사례.md,crawl,2016다235480,meta,prec,근로기준,folder,,퇴직금 중간정산의 합의 유효 인정 사례,verbatim,1
output_법원 노동판례/근로기준/2016다236407_휴일근로수당과 연장근로수당의 중복 지급 부정 사례.md,crawl,2016다236407,meta,prec,근로기준,folder,,휴일근로수당과 연장근로수당의 중복 지급 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2016다241515_주식회사 이사의 보수 결정에 관한 법리.md,crawl,2016다241515,meta,prec,근로기준,folder,,주식회사 이사의 보수 결정에 관한 법리,verbatim,1
output_법원 노동판례/근로기준/2016다255941_무기계약직공무직의 사회적 신분 부정 차별처우 부정 사례.md,crawl,2016다255941,meta,prec,근로기준,folder,,무기계약직공무직의 사회적 신분 부정 차별처우 부정 사례,verbatim,1
output_법원 노동판례/근로기준/2016다3386_휴일과 비번일에 관한 법리.md,crawl,2016다3386,meta,prec,근로기준,folder,,휴일과 비번일에 관한 법리,verbatim,1
